sweep,case_id,param_name,param_value,sigma_perp,sigma_parallel,spacing,alpha,mse,psnr,mae,correlation,blur_sigma,contrast
sweep_4_alpha,case_02_sharp_contrast_medium,alpha,0.1,1.0,5.0,2.5,0.1,0.12337316572666168,9.087793350219727,0.24749775230884552,0.0028174895773774252,0.0,0.5
sweep_4_alpha,case_02_sharp_contrast_medium,alpha,0.15,1.0,5.0,2.5,0.15,0.12319718301296234,9.093992233276367,0.24749667942523956,0.002815347287284874,0.0,0.5
sweep_4_alpha,case_02_sharp_contrast_medium,alpha,0.2,1.0,5.0,2.5,0.2,0.12302917242050171,9.099919319152832,0.247495636343956,0.002813151045920781,0.0,0.5
sweep_4_alpha,case_02_sharp_contrast_medium,alpha,0.25,1.0,5.0,2.5,0.25,0.12286897003650665,9.10557746887207,0.24749460816383362,0.0028108992328281404,0.0,0.5
sweep_4_alpha,case_02_sharp_contrast_medium,alpha,0.3,1.0,5.0,2.5,0.3,0.12271632254123688,9.110977172851562,0.24749357998371124,0.0028085908493536353,0.0,0.5
sweep_4_alpha,case_03_sharp_contrast_high,alpha,0.1,1.0,5.0,2.5,0.1,0.3158353269100189,5.005393028259277,0.39599645137786865,0.0028174897262561913,0.0,0.8
sweep_4_alpha,case_03_sharp_contrast_high,alpha,0.15,1.0,5.0,2.5,0.15,0.31538477540016174,5.011592864990234,0.39599475264549255,0.002815347333314706,0.0,0.8
sweep_4_alpha,case_03_sharp_contrast_high,alpha,0.2,1.0,5.0,2.5,0.2,0.3149546980857849,5.017519474029541,0.39599302411079407,0.002813150906621543,0.0,0.8
sweep_4_alpha,case_03_sharp_contrast_high,alpha,0.25,1.0,5.0,2.5,0.25,0.31454452872276306,5.023179054260254,0.39599138498306274,0.0028108993944013193,0.0,0.8
sweep_4_alpha,case_03_sharp_contrast_high,alpha,0.3,1.0,5.0,2.5,0.3,0.3141537308692932,5.02857780456543,0.3959897756576538,0.0028085909552926147,0.0,0.8
sweep_4_alpha,case_10_blur1_contrast_low,alpha,0.1,1.0,5.0,2.5,0.1,0.019514208964341452,17.09649048758053,0.09890156477769048,0.0022125285528793778,1.0,0.2
sweep_4_alpha,case_10_blur1_contrast_low,alpha,0.15,1.0,5.0,2.5,0.15,0.019486137116382155,17.10274245813779,0.09886521473244186,0.002214321323887153,1.0,0.2
sweep_4_alpha,case_10_blur1_contrast_low,alpha,0.2,1.0,5.0,2.5,0.2,0.019459342036654354,17.108718482753325,0.09882938752661145,0.002216111168438978,1.0,0.2
sweep_4_alpha,case_10_blur1_contrast_low,alpha,0.25,1.0,5.0,2.5,0.25,0.019433789429565782,17.11442507280414,0.09879422826720709,0.002217897621873288,1.0,0.2
sweep_4_alpha,case_10_blur1_contrast_low,alpha,0.3,1.0,5.0,2.5,0.3,0.019409445543531106,17.119868706304015,0.09875978110431234,0.0022196801524772616,1.0,0.2
